restaurant_id,date,review_id,stars,text,Sentiment
tr859,3/21/2007,revtrain20261,5,"I absolutely love this place.  I've been eating here since it was down the street a little bit in a small 10 table shop.  Another one of my favorites for lunch.  I eat there at least once a month.



My favorite dishes are:

Garlic Knots - A must have for anyone who eats here.  Think pizza dough with butter and garlic tied into a knot.

Pizza - I like the 2 slice cheese lunch special when I'm in a hurry.

Baked Ziti - Unbelievably good.....large serving.  I definitely need a nap after eating this dish.



I take clients and friends here whenever possible.",positive
tr859,7/8/2007,revtrain20262,4,"This is such a quaint little Italian deli, the counter is so cute and there is so many things to choose from! I highly recommend this place especially if you have cravings for good east coast Italian food. Although these guys have been here a while, they have not strayed from their roots.

The garlic knots are to die for, I don't live on that side of town so I absolutely gorge when I go over here. 

Must go to gym more often so I can eat more Montesano's!",positive
tr859,5/14/2008,revtrain20263,5,"This place is the only reason why I miss living in Vegas.  It's myf avorite italian joint in the whole wide world.  They have the best pizza, lasagna, everything!  The deli rocks and the desserts are so delish!  I miss this place so much!!!",positive
tr859,10/28/2009,revtrain20264,5,"It's been 3 years & I'm still thinking about the last time my taste buds did the happy dance while snarfling down yeasty salty garlic knots & gorging on velvety epiphanous baked ziti (How else would you describe tender ziti bathed in a creamy, tangy, garlicky ricotta marinara sauce?  That's right, I'm pretty certain some minor deities were involved.).  Sigh.  Not to mention inhaling the chocolate chip & ricotta-filled cannolis from their in-house bakery.  Oh & just in case you're curious, their toothy old school deli sandwiches are nothing to sneer at either.  Sigh.  [drool]



Yup.  I'm so far gone that I'm actually contemplating a trip to Lost Wages just so I can root around in a ziti-garlic-knot-cannoli-induced haze.  I wonder if they use FedEx?  Or even better, is there anyone in Las Vegas willing to negotiate a food exchange program?  Could I interest you in some tapas http://www.yelp.com/biz/toro-bravo-portland#hrid:5encXDc9LaFfQjKnfRwFoA or Marine Stewardship Council certified sushi? http://www.yelp.com/biz/bamboo-sushi-portland#hrid:T6h06m_n3mj__NJrPGIhIQ  How 'bout a Tom Kah cocktail? http://www.yelp.com/biz/the-observatory-portland#hrid:B4LA344HygZL0hk-SKfg1A  Don't decide now, just have your people get back to my people.  [winkwink, nudgenudge]",positive
tr860,11/10/2007,revtrain20265,3,"This chicken chain is awesome.

The quality and taste of the food at each location is remarkably good.



These folks know chicken.



The best thing is feeling of being full without the guilt for eating at a fast food.

And unlike some other places, the chicken doesn't need to be overly coated and deep fired (not that there's anything wrong with that) to be tasty.



I really enjoy the food here.",positive
tr860,8/23/2008,revtrain20266,4,"When I lived in Vegas, I often sent a silent prayer of thanks to the franchise restaurant gods for plunking an El Pollo down minutes from both my house AND work! Chargrilled chicken served in a variety of ways, along with a surprising number of side dishes (for a fast food chain, anyway) that is tasty and good for you AND your wallet. 



My personal favorites are the Pollo Bowl (chicken, beans, rice, pico de gallo, onions and cilantro all done up nicely in a bowl) and the Twice Grilled Burrito.  Muy Bueno!



Now if they would just open one here in Dallas.......",positive
tr860,5/9/2009,revtrain20267,4,"Chicken Wars 2009



KFC, Popeyes & El Pollo Loco have all been trying to get your fast food chicken $$.



Both KFC & Popeye's FREE Give aways have turned into complete fiascos BUT El Pollo Loco somehow manages to serve tons more customers daily without a hitch.



I walked into a packed restaurant with 5 cars in the drive-thru yet it only took me less than 10 minutes to order & get my food.



I got the 2 pc white meat w/2 sides & flour tortillas.SIdes were Cole Slaw & mac n cheese plus I oalso got spanish rice.



They have a salsa bar here so load up on pico,salsa & sauces.



The chicken is lime-marinated fire roasted so it is GOOD!!!! Very moist & juicy very tangy and so damn good. 



I mean its NOT Koo Koo Roo which used to be in this very location BUT it is way and I mean way better than KFC or Popeye's.



The sides are real good too.",positive
tr860,5/10/2009,revtrain20268,4,"El Pollo Loco FREE Chicken for Mothers Day http://bit.ly/BymAs , http://bit.ly/nlKUm , http://bit.ly/nzgPu",positive
tr860,7/9/2009,revtrain20269,2,The chicken is alright. The commercial is very misleading because my chicken did not look like the one on TV. The sides were alright and the salsa bar was good until I witnessed a 3 year old girl slobbering all over the spoon and vigorously dipping her infested hands in to the sauce/salsa containers. Very unappealing to say the least. I told the child's mother and the store manager about the blatant condiment violation and they both looked at me with the intent to trick me that they did not speak English. They succeeded because the little girl was still using the salsa bar as her private playground. No salsa for me!!!,negative
tr860,5/26/2011,revtrain20270,3,"The crazy chicken ! For a cheap quick meal. The chicken  was fresh , flavorful , moist and delicious . We had the Cole slaw , mayo based , pretty good.  With the salsa /condiment bar and hot tortillas , it was a tasty meal",positive
tr860,11/21/2011,revtrain20271,4,"It's an El Pollo Loco, the service is usually slow around lunch time, but the food has been fresh and hot when it gets out. 



Nothing has really stood out good or bad for this place, it's just a convenient semi-healthy place to get food every so often.",positive
tr860,1/21/2012,revtrain20272,4,It's a great fast meal with a lot of options for side dishes. The salsa bar is great if it's maintained. If you love grilled chicken this is a great option. Try it and see what you think?,positive
tr860,1/22/2012,revtrain20273,1,We were here about 4 days ago. We are very hungry and the guy told us the chicken will be 40 more mins. WTF?!,negative
tr860,2/10/2012,revtrain20274,3,"After recieving some coupons in the mail = .99 Fish Taco's, my interest was peeked & I decided to make it my destination on my walk. I got there at lunch time and there was a line halfway into the seating area but it wasnt a long wait to order, maybe 5 min.



I had previously looked at some reviews here and because of THAT, I ordered a small bowl of Chicken Tortilla soup ($2.99) and the before mentioned fish taco (Reg $1.99...wt coupon .99). The Total wt tax came to $4.30.



This is a few steps up from Taco Bell and the plates I saw being served looked really good & healthy. My taco was very small and not a good value at the reduced fare of .99. It was good but the Fish Taco's for .99 at Long John Silvers are way better & bigger. Now when it comes to soup, I am spoiled rotten, as I worked at a condo and the Chef there was a Pro and in fact was once Tommy Lasorda's personal Chef, and the soup this guy made was the MOST AWESOME EVER!!



The Tortilla soup was NOT as good as reviewers made it out to be. First off the portion didnt match the price of $3. I have had Campbell's Chunky Mexican Chk Soup ($1.50) that is a bigger portion for less and packs more overall flavor. It was ""OK"" at best and did have some nice chunks of chicken but not worth $3.



I'm not writing this place off by any means and will probably go back using it again as a destination on a walk one day and try the Chicken Tortilla Salad. But for value's sake, I could have paid another dollar & gone to lunch at Buffet @ Asia (see previous review here) & had more of a choice of dishes & all you can eat.



Way better than Taco Bell or Del Taco thats for sure!!",positive
tr860,8/25/2012,revtrain20275,3,"It's El Pollo Loco.  Unfortunately, during the summer they aren't that keen on cooling the place to make it a pleasurable dining experience.  Also, at sunset, there is very little window shading so the sun blinds you.",positive
tr860,9/4/2012,revtrain20276,3,"This has become a regular stop for lunch during the work day.



On a recent visit, my El Tradicional burrito had a pretty nice sized bone in the middle of it. Yes, I found yet another bone in my chicken from two different chains now.



This time, instead of being a big chunk of bone, it was a nice sized rib by the looks of it.



I tried calling the store to let the manager know their staff should be a little more careful, no answer. I know how busy they get during the day, so I figured I would call a different time. No answer. A different day, before the daily lunch rush. No answer. Fill out a form on the corporate website, receive only an autoresponder email. Next visit in, I brought the bone and receipt, manager was too busy to step away.



Oh well, I'll keep eating there, the chicken is pretty good. Will have to see if I have already filled my quota of chicken bone incidents for 2012.",positive
tr860,2/26/2013,revtrain20277,3,"I LOVE the CRAZY CHICKEN, this location is my fav because its on my own from the gym.  Fast and ""HEALTHY"", it is healthy depending on what your order consist of.  New remodeled (restaurant and employees), service is fast, employees are nice. 



This location gets 4stars for cleanliness (that includes the outside of the restaurant as well as the bathrooms) it's rare to go to a place 2hrs before closing and the bathrooms are clean.  I appreciate that, what more can I say? Its El POLLO LOCO



I order the same every time I go: 3 wings and a Loco Salad w/ flour tortillas (don't judge me I need the carbs) nothing out of the ordinary but I like it better than the fried chicken places",positive
tr860,7/2/2013,revtrain20278,2,"Every time we come to this location, through the drive-thru, and ask for more sauce - the girl at the window always looks extremely annoyed to go and get it. Either she needs to not be so lazy - or move the damn fridge closer to the window so that she isn't ""inconvenienced"" by her job.",negative
tr860,11/18/2013,revtrain20279,1,"I love El Pollo Loco but this location SUCKS!! The guy in front of me was ordering catering and the girl was rude and said for him to hold on. She went to the back and came back up front taking crap about the girl she just went to the back to talk to. When we got up to the counter a new girl was taking our order. Her name was Cecy. She had her phone on the counter and was checking her Facebook as we were giving her our order. I caught her eye and gave her a ""seriously?"" look but that didn't stop her from cruising along her social media quest. She called our name for food and informed us that what I ordered they didn't have. She asked me what else I want. I ordered what I didn't want. We finally got our order. The food was terrible. The tortillas were really stale. Nasty! I will never go back to this location again.",negative
tr860,12/21/2013,revtrain20280,3,I have been coming here since I was a kid. I hbe find memories of El Pollo Loco and family discussions around the dinner table. Flame grilled chicken and fresh tortillas always make for good eats. I have never been into a dirty Resteraunt and I have never had an order messed up. But I must say the drive thru at this location takes forever! Literally over 15 minutes every time I come. Even with only a few cars in front of me. I don't know what the hold up is all the time or if language barriers are an issue but El Pollo Loco needs to figure it out... At least at this location.,positive
tr860,7/19/2014,revtrain20281,2,"So it is amazing how just a few bad employees, can ruin your dinning experience . The food is good when looking for a some what healthy options.but management step it up get your employees to up to par. When I was going through the drive thru I ordered a salad and the didn't even give me the dressing. And the lady was very rude, and nearly dropped the bag when it was handed off to me. The wait is also very long too long if you ask me .",negative
tr860,8/2/2014,revtrain20282,3,I like this place because it is tasty and they have an under 500 calorie menu that is very good. I really do hate the long wait here at lunch though. It is not fast food and the setup is awkward. People are stepping all over each other as they wait for their food. Hate that...,positive
tr860,8/8/2014,revtrain20283,3,"Dining in at a fast food restaurant is not something I enjoy, but it I will do it from time to time when taking the food to go just won't do. This location is pretty busy and on the few occasions I have dined here, it gets loud and a little hard to hear your own thoughts, much less the conversation form your dining companion. 



The food is that of any other El Pollo Loco and they keep the place relatively clean with a well stocked salsa bar.",positive
tr860,8/17/2014,revtrain20284,5,"I haven't had EPL in a long while - I'm so glad I decided to have lunch here. The food is always fresh tasting, the chicken is ONLY grilled to perfection - they don't fry anything but the churros, fries, crunchy tacos, or tostada bowls.

I love the salsa bar with its variety, and the cashier was amazingly friendly.

EPL has never let me down on flavor, it's consistency for service, and it's atmosphere.

I have not eaten fast food Mexican in about 20 yrs, I find quality places like this or family owned places are usually the best places to get your grind on.



If you haven't tried El Pollo Loco, you're missing out on good grub :)",positive
tr860,8/24/2014,revtrain20285,2,"MUy poquita comida !!!! Ped?? un Chichen bowl y solamente ven??an 4 pedacitos de los q vienen en una ensalada!!! Pague $6 lo que me cuesta un pollo entero ya cocido en la tienda ... Que verg?¬enza , que decepci??n  !!!",negative
tr860,8/28/2014,revtrain20286,2,"I love grilled chicken as much as the next finger lickin' chick, but man- the execution here is somehow worse than most other locations I've been to, to the extent that I'll go out of my way (or flat out elsewhere) rather than deal with it.



If you use the drive-thru, regardless of what time of day it is, expect about a 10 minute wait. ""But this is fresh, delicious grilled chicken!"", you say. Well, if I can see through the window that they don't even start making my order until my card has been processed and I've been waiting a few minutes, I'm not thrilled.



Also, this location in particular has repeatedly gouged me on little things: chips and guac order is only half-full and chips are stale, ask and double-check for cilantro sauce and still don't receive it without going in and asking a third time, torn corn tortillas, and tortilla soup that is 80% broth and corn.



Somehow I still find myself giving them a chance every few months, and their chicken is good- but not enough to make up for half-assing my order each time.",negative
tr860,9/25/2014,revtrain20287,4,It's good I liked it,positive
tr860,11/3/2014,revtrain20288,4,"I love el pollo loco. I dont mind waiting 5/10 mins for food that's cooked in an open kitchen. People complain that the food takes awhile but if you've ever been inside during a rush, all the workers are doing something, no one stands around, they all work. 



The chickens always cooked right, great seasonings and they offer healthier options on the menu, more than your typical fast food joint.



They also have a pretty good ""value"" menu



Over all this place is good. I've never had a problem with the service or the food.",positive
tr860,12/12/2014,revtrain20289,3,"Last review I left was for what used to.be my favorite el.pollo loco. Last 2 visits were very disappointing. The drive thru window is slacking now. Dont ask me if I want salsa if your not going to give it (last two visits they forgot the salsa!!!) This time no salsa, tortillas, napkins or a reciept. So disappointed. I will continue to visit this place, sucks I have to babysit you and double check my order. Come on guys get your shit back together!!!",positive
tr860,12/22/2014,revtrain20290,3,I went to this location yesterday and I was very disappointed. The lady at the drive thru was very rude.,positive
tr861,11/18/2008,revtrain20291,5,"Great Pub!



I'm extremely glad that my friend invited me and a few of other friends to come and visit this gem!



The decor is ""old-wester-Vegas"" as this pub has been around for quite a few years living through the ups and downs of Vegas and the growth of its West side, where this pub is located.



The food was EXTREMELY affordable--we're talking $4.00 for a full platter! It is more of a diner fare with a few upgrades. The service is extremely quick, the drink selection is vast and also affordable. Bartender was very good and waitress made us feel at home. I loved their BLT sandwish on sour dough bread, and their take on ""quasadillas"" stuffed with a plethora of meats and vegetables. Their yummy fries come in different flavors and seasonings, my favorite being ""cajun.""



This was a very good experience from start to finish. I could understand that even on a week night it was packed. Highly recommend this place!



P.S. The owner is extremely down to earth and friendly! This is a plus for anyone who is a Griz fan!",positive
tr861,8/16/2009,revtrain20292,1,"First let me try to say something nice . . . um . . . hmm.  Well, the drinks are cheap.  We paid $6.50 for a vodka soda and a Heineken.  



Now on to the bitching.  



Do not eat here.  I am a fool.  No matter how appetizing bar food may seem at the moment, you don't want theirs.  I ate over 2 hours ago, and my stomach ache has yet to find an upper limit.  It just keeps getting worse.



Ugh.  Did you see that?  Before I could even finish this review, I just ran off to the bathroom and violently vomited.  I'm in hell right now.  I don't think it's food poisoning.  My boyfriend and I shared our turkey club sandwich and onion rings, and he's okay.  They probably just never clean out their fryer, or something



I mean, the food tasted alright (the first time around, not the second!), but I will never go back now.  Not even for a drink.



Oh, and the bartender was surly as hell.  Yes, dear we aren't regulars.  And with that attitude, you have assured that we never will be.



Do.  Not.  Want.",negative
tr861,7/27/2010,revtrain20293,2,bar/restaurant. pretty small with good service most of the time. basically typical bar food. not to bad...except when hair manages to find it's way into your hash browns. haven't been back their since.,negative
tr861,1/22/2011,revtrain20294,2,"Well just your average pub but, the food was decent and I like that they have more than one type of frie there. The service was sooo slow though. I am unsure why they have such bad and lost help, they must be hiring friends and family because this town has a lot of unemployed people that can do a lot better.",negative
tr861,11/24/2012,revtrain20295,3,"Dingy and smokey, but a decent neighborhood watering hole. Typical Vegas style bar that's been around for decades.



Good pool tables and they host a few leagues there. Bartenders and bar staff are all cool and pour with a heavy hand. My friends's Makers and coke was 98% Makers with a splash of Coke for color!



A lot of regulars and friendly boisterous bunch at that. I've never eaten here but at least they have a separate dining area for the non smokers, like me, because this place is nicotine heaven.",positive
tr861,4/27/2013,revtrain20296,4,"I met my good friend from Montana here. She was in town for a convention and she wanted to go to this bar....why I asked, what's special about it??? WELL, they cater to Grizzly fans!  University of Montana Grizzlies!  We met the owner who sat down and visited with us for at least 2 hours.  My friend knows him through her Uncle.  The place is older yes, smokey OH YES, but it's a bar so liquor and cigarettes go hand in hand.  The food was pretty good. I had chicken wings, my friend had a Philly cheese steak sandwich which looked delicious!!! Wishing I had chose that! Wings were good. though. Affordable food.",positive
tr861,7/1/2013,revtrain20297,4,"Girlfriend and I decided to give this pub a shot.  We drove right past it the first time, as there really is no sign.  We entered the restaurant side and were the only ones there.  The bar must be great, because that side was pretty full.  Our waiter was fast and the food was great.  I will go again when we're cruising this part of town again.",positive
tr861,10/9/2013,revtrain20298,3,"My perspective is from die-hard N.Y. Giants fan and all around bar fan. This bar is only one of two bars in town that cater to 'NY Giants' fans. As you read this review, keep in mind that this was an early game but this is football season in Vegas and I have been to bars for early games and they were as busy as if it were Monday Night Football.



CONS:

This place is not advertized to the general public as a NYGiants themed bar in the Las Vegas area. I found out about this place through a buddy of mine. The reason they can't advertise as being a Giants bar is because one of the criteria required by the Las Vegas Review Journal is that you cater only to the team support and not show any other game while your team is playing. But, they do, they have every game on TV and they display the Giants game on the big screen with sound. This in and of itslef is not that big of a deal because there is a decent amount of Giants fans in the place, but there are also plenty of fans of other teams too and that kind of takes away from the whole concept.



They raffle prizes at half-time but they are freebies they get from vendors and none Giants related. 



The bartender wears a Philidelphia Eagles jersey every week. 



Smoking is allowed and ventilation is definitely lacking.





PROS:

Because its definitely a locals place, the price is right. The service is always excellent. The staff is welcoming. The customers are friendly and the place is set up pretty nicely. The menu is pretty good. When I go to an early game I have the stake and eggs with hashbrowns and choice of toast for $9. It's absolutely excellent!, Well cooked and delicious. The beer always cold and on point. I'd already had breakfast so I just had the potato chip fries. These chips are very good. 



CONCLUSION:

As a bar it gets four stars but I only go during football season to watch the Giants when their not already on TV so that's all I have to go by. I gave the place three stars instead of two as a 'Giants' bar because it is as close to a Giants bar as any other bar gets in this town and beggers can't be choosers. I'd give it four stars if they were a strickly Giants bar, and five if the bartender didn't wear an Eagles jersey. If you're a football fan you understand.",positive
tr861,11/11/2013,revtrain20299,5,"The Suicide Wings and big, cold Pabst Blue Ribbon beer on tap will make your eyes roll back in your head!  Warning, they are addicting and you will find yourself sneaking there at all times during the day and night to fill this insatiable urge. You can get both in the bar or restaurant part of the pub.  The bartenders and waitresses are super friendly. Experience this ASAP!",positive
tr861,12/7/2013,revtrain20300,5,"One of my favorite pubs in Las Vegas. The prices are extremely reasonable and the staff is one of the friendliest around. On my second visit to this establishment, the bartender greeted me by name and asked me if I wanted my regular... Holy Cow!!



I usually get the club sandwich, which is one of the best in Las Vegas and during happy hour the suicide wings, which are extremely delicious!



Strongly recommend this pub!",positive
tr861,4/19/2014,revtrain20301,5,"The Torrey Pines Pub is absolutely underrated! The staff here are like family! Dave, Jen, Bob, and Arnie well everyone here make you feel right at home.  Unless most bars out there, they make an effort to meet you and address you by name regardless of how busy they may be. Drinks are cheap! Good eats! AMAZING mozzarella stick hand breaded here and delicious philly cheesesteaks! Give this place a chance! You won't regret it!",positive
tr861,5/9/2014,revtrain20302,4,"LOVE LOVE LOVE this place! 



It's my local watering hole that I turn to time and time again. The staff is FANTASTIC, the drinks a' plenty and the food yummy too. 



I'm a gamer and win here often, and even if I'm not winning, someone around me is. I highly recommend this dive. :)



My only gripe is it's quite smokey in the bar area. They do have fans/ventilation. Some days are better than others.",positive
tr861,7/17/2014,revtrain20303,5,My family and I been coming here for years. The food is outstanding and the server are very friendly. Keep up the outstanding work. Will always recommend friends and family's,positive
tr861,9/19/2014,revtrain20304,5,"What a great place, friendly local bar. Excellent food and service. They have NTN trivia with lots of local players that are very good and like to help you play.",positive
tr861,11/10/2014,revtrain20305,5,Still one of the best places for a good meal and nice staff keep up the outstanding work. I will always recommend people to come here.,positive
tr861,11/29/2014,revtrain20306,5,"Great Montana Grizzlies place. Got to watch a playoff game there and everyone in the place was a Griz fan. The food was great too. Well cooked and didn't take long. Service was also great, loved our server. Met tons of great people there and the atmosphere was second to none.",positive
tr861,12/12/2014,revtrain20307,5,"Pool tables, Great food, gambling 'You can Expect to win at the Torrey Pines Pub' :) :) :)",positive
tr862,7/13/2009,revtrain20308,2,"My wife and I visited this restaurant on July 6, 2009, The waiter was unhappy that he only had a few tables to wait on, yet this seemed to many, he was getting the tables orders mixed up, and forgetting the order that people were sat down. It took over 30 minuets for us to get our salad, and if you have ever been to an Olive Garden, that's the easiest thing to get. Now if that wasn't bad enough, there wasn't any dressing on the salad, then to top it off we sat there for 20 more minuets after we were done waiting for a bill. The meals was OK, not the greatest, yet I think the over all, food was good, service was terrible.",negative
tr862,3/31/2010,revtrain20309,5,"This is one of my favorite restaurants to dine at... 



The service is always wonderful & the food is always good, fresh, and leaves you full and satisfied. I love the complimentary breadsticks (unlimited), they are sooo good and are always hot and fresh! They taste even better if u order some alfredo sauce to dip them in. 



My favorites: 

1. The Tour Of Italy: Delicious. Great 1st choice if you've never been there before and don't know whether u want to try the spaghetti or the alfredo.It comes with a slice of lasagna, some fettucine alfredo, and some chicken parmigiana. Very good!! 

2.Chicken Fettuccine Alfredo: Really satisfying, I ordered mine with extra chicken (it doesn't come wit very much.) 

3. Chicken And Dumpling Soup: Yum! the dumplings are sooo good! 



I never really mind waiting for my food, I usually try to dine at places like this when I want to spend time with my family, friends, or a little one on one time with my husband. As long as the food is hot and fresh, and the service is great, i have no complaints!! :]] If I wanted fast food type of italian food, I would go to a fast food type restaurant, like Fazoli's.",positive
tr862,7/28/2010,revtrain20310,3,Eh... I ordered a steak dish with cheese raviolis. It is one of their limited time menu items. The steak pieces were little medallions and they were suppose to come out medium but they were definitely well done... no pink at all. My sister had the steak skewers and hers were just as well done also ordered medium.  The salad was good as usual and service was decent.,positive
tr862,3/10/2011,revtrain20311,4,"Lunch time service and food is awesome. Dinner was ok when we were here a week ago. This time we came for lunch. The food was amazing, the service was so friendly. We told them about our last visit and we had dessert tasting and one was warm and she took it off our bill. The portions are smaller at lunch but you can upgrade if you tell them. I'm only coming here now for lunch.",positive
tr862,7/14/2011,revtrain20312,3,Food was hot and delicious but the service sucked. Ordered the soup & salad combo and was given 3 bowls of salad before any soup showed up. The Alfredo was good but the steak was overcooked. Chicken parmesagna was good but dry. Service was slow to nonexistent to forgetful. Manager was running around trying to fix everything.,positive
tr862,8/22/2011,revtrain20313,3,Always a fan of the breadsticks and salad. The Gluten free menu as far as my gluten free friend was concerned felt it only rated a 3 for choices.  There are @ least 6 dishes to choose from but they only came with penne pasta. She felt there needed to be more choices of gluten pasta to choose from.,positive
tr862,8/30/2011,revtrain20314,4,"Good Ole reliable Olive Garden.  You're not going to get 5 star service, you're not going to get 5 star food.  What you will get is some pretty darn good italian food at a reasonable cost, especially if you go there during their all you can eat soup and salad or the never ending pasta bowl.



The Olive Garden has become one of those places where you know the food is going to be good everytime you go.  They don't move their menu around every 6 months like alot of places do.  They offer consistency over variety.  That's not to say the food is boring, quite the opposite.  The Olive Garden has found a niche that works for them and I for one appreciate it.



On occasion they will bring some new dishes from their culinary school that might be worth a try.  They also do the same thing with their seasonal desserts.  Which reminds me, if you haven't tried the pumpkin cheesecake ye, WTF are you waiting for.  That thing is delicious!",positive
tr862,12/27/2011,revtrain20315,1,"We were in town for a vacation and decided to go to this OG to celebrate a birthday.  First, let me say that the waiter was not very friendly.  He made mention that our table was the last one and he could leave after us.  Hi, Rude!  He got drinks mixed up for our group and poured different drinks into people's glasses.  Honestly, I would recommend a drug test because the behavior had chronic written all over him.  When passing the drinks out, he actually told someone ""can you pass this down because I am not going to try going behind the seats"".  HELLO, it is your job!  And if the seats are too close to the wall, then move the table out so the wait staff can get behind people.



When the waitress asked if we wanted marinara dipping sauce for our bread sticks, she should have mentioned that it was for a fee.  We were surprised to find that each one was around $8!  Again, these places tend to nickel and dime you for everything.  Had we known this, we certainly would not have ordered it.



The last straw was when they came out to sing happy birthday, they brought out a small dish with whipped cream, drizzled with chocolate and a candle in it.  REALLY?  We spend a good amount of money and they couldn't spring for a REAL dessert?  It was laughable and became the butt of a running joke amongst us for the rest of our trip.  I mean really, who does that, whipped cream with a candle in it?



We have been to other OG restaurants and have received much better service.  I would skip this one in particular and find another OG where they still believe in good customer service.",negative
tr862,4/7/2012,revtrain20316,1,"Yeah, one star for stealing my honey's credit card.  Thank goodness American Express is more loyal to its customers than you people are.  Using his credit card up & down Nellis blvd is retarded. 

Eat a dick & gain some integrity.",negative
